ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
3609x5489_12,3609x5489,,f,12_13xii,2014-12-13,Mock,4,907000,112006,101288,67646,,24155,4637,11636,7857,2836,60,8867,1081,8549,32268,5387,3162,129348,116217,94514,65899,22327,14176,7195,11050,2317,33020,22292,15477,8910,6567,4544,11,191,7,655,21,128,2231,196,
3609x5489_13,3609x5489,,f,12_13xii,2014-12-13,Mock,4,296000,49305,42262,31268,,17134,5319,12802,10968,1402,33,1986,160,3509,8697,2387,1122,56552,46872,34979,25639,4966,3231,1554,3190,1054,13020,7655,6393,4377,2016,2600,7,33,14,90,23,63,609,37,
3609x5489_14,3609x5489,,f,12_13xii,2014-12-13,Mock,4,145000,30338,23067,15562,,8026,3617,5712,4426,1019,15,1046,72,1678,4347,1267,411,25739,19008,14671,9783,1936,1298,572,847,499,854,460,311,208,103,115,0,1,0,1,0,1,40,1,
5489x16557_52,5489x16557,,f,1_14i,2014-01-24,Mock,4,2480000,196809,155919,92411,,42432,18396,19943,14389,5554,2,5517,1772,24626,26215,8422,2813,197542,153998,90025,51910,18536,3310,4941,9286,3141,261567,199499,117570,71907,45663,22285,28,666,131,591,3633,596,3391,79,
5489x16557_50,5489x16557,,f,1_14i,2014-01-24,Mock,4,2480000,165386,126023,71989,,37826,16615,17297,13951,3346,5,6088,1474,19938,14883,6464,2183,225650,174454,97426,57073,16320,2383,4920,8737,4930,196309,150857,90169,61844,28325,22541,18,550,125,611,4742,558,3647,79,
5489x16557_51,5489x16557,,f,1_14i,2014-01-24,Mock,4,1200000,244601,179640,101598,,53135,16858,26136,21895,4241,1,6216,1898,17184,31634,3774,2570,224924,169416,105178,57302,20619,14386,5153,11631,3014,276328,201347,114767,72965,41802,33013,20,471,80,611,6818,495,3122,50,
8010x16441_145,8010x16441,,f,1_14i,2014-01-24,Mock,4,1240000,126072,102007,77988,,33636,14508,10130,8685,1445,1,4813,1672,21936,23110,5137,9418,176110,135787,97870,75515,21038,11637,8159,18932,7258,241611,186805,143347,76942,66405,24515,50,397,79,709,8803,558,581,11,
8043x8008_16,8043x8008,,f,1_14i,2014-01-24,Mock,4,159000,109475,74118,40566,,20813,15522,7420,6549,871,1,2471,604,10911,8891,696,1894,98086,67900,41606,20302,5516,3243,2005,3380,1486,110459,74214,48009,33016,14993,9507,12,228,23,502,1910,282,1185,14,
8043x8008_30,8043x8008,,f,1_14i,2014-01-24,Mock,4,938000,267856,163113,84519,,43857,21140,22555,19985,2570,0,4757,738,20873,19924,2777,4446,239419,149298,96672,43244,11622,7085,3809,7805,4674,270505,159975,99831,70591,29240,24228,16,501,25,824,2833,525,2551,36,
8043x8008_32,8043x8008,,f,1_14i,2014-01-24,Mock,4,1280000,233308,164359,94268,,47515,23339,20911,17807,3104,1,5646,638,29506,18125,8880,5276,217230,156346,97763,50517,15799,10695,4442,11941,3118,248718,177035,104709,68574,36135,22859,21,550,34,814,3346,616,1020,19,
8010x16441_144,8010x16441,,f,1_14i,2014-01-24,Mock,4,1460000,223575,161016,93149,,43721,8723,22619,20263,2356,3,4855,2951,27838,22335,11935,2643,175560,126358,85803,51193,12872,6543,4699,9397,4918,216498,152351,94259,61348,32911,24219,48,529,36,643,4554,636,485,10,
